Name,URL
Bosun（ぼすん）,https://twitter.com/Bosun_video/status/1409088112408641538
アフロ,https://twitter.com/v_G_Gy/status/1361233033064574976
Shiho,https://twitter.com/Shiho_4H0/status/1309798105722679296
ブー,https://twitter.com/Boo_12_13_B/status/1233314597643243521
①,https://twitter.com/yasai0827/status/1231587613749833729
とかに,https://twitter.com/re_toqani/status/1231586682287165440
icesawder,https://twitter.com/icesawder/status/1231582440021319681
かま,https://twitter.com/kmnco_/status/1231579241101152261
かみまみた,https://twitter.com/nya_vas/status/1231543559070740485
