Display name,Username,Tweet URL
なめくじんるい(shuto),@EF2ztFnaU5FfP74,https://twitter.com/EF2ztFnaU5FfP74/status/1304750297584078848
korin,@korin226,https://twitter.com/korin226/status/1279367223375572993
RT,@Underta55186604,https://twitter.com/Underta55186604/status/1274721532225282049
①,@yasai0827,https://twitter.com/yasai0827/status/1274713528062971908
syu6.css,@syu6noob,https://twitter.com/syu6noob/status/1274704121208033285
CRCR,@CRCRexe,https://twitter.com/CRCRexe/status/1274696537692532737
L'automne,@Lautomne6,https://twitter.com/Lautomne6/status/1274690725888684033
ミル,@milu_exe,https://twitter.com/milu_exe/status/1274665094266286086
