Display name,Username,Tweet URL
むん,@motion_mun,https://twitter.com/motion_mun/status/1413711077330735111
わたもこ,@watamoko_,https://twitter.com/watamoko_/status/1375391455506616325
"末尾,",@sueo_on_demand,https://twitter.com/sueo_on_demand/status/1357876741994291200
Shiho🐧,@Shiho_4H0,https://twitter.com/Shiho_4H0/status/1310124586508234754
Mochi,@coroke3,https://twitter.com/coroke3/status/1279421779526553600
①,@yasai0827,https://twitter.com/yasai0827/status/1258902252732874752
えゔぉど,@evod_eizo,https://twitter.com/evod_eizo/status/1258769718401306624
しゅうへい,@2019401Reiwa,https://twitter.com/2019401Reiwa/status/1257501663398518784
なめくじんるい(shuto),@EF2ztFnaU5FfP74,https://twitter.com/EF2ztFnaU5FfP74/status/1256950518120734724
